"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2017","6,903.39","6,952.60","6,954.98","6,903.39","422.84M","-0.67"
"Dec 28, 2017","6,950.16","6,953.38","6,954.80","6,936.75","293.06M","0.16"
"Dec 27, 2017","6,939.34","6,941.45","6,955.38","6,931.34","316.13M","0.04"
"Dec 26, 2017","6,936.25","6,928.92","6,942.14","6,915.56","322.15M","-0.34"
"Dec 22, 2017","6,959.96","6,958.02","6,962.26","6,944.44","372.94M","-0.08"
"Dec 21, 2017","6,965.36","6,972.88","6,992.63","6,961.20","436.63M","0.06"
"Dec 20, 2017","6,960.96","6,991.26","6,991.26","6,935.42","442.66M","-0.04"
"Dec 19, 2017","6,963.85","6,991.25","6,995.88","6,951.49","514.90M","-0.44"
"Dec 18, 2017","6,994.76","6,980.40","7,003.89","6,975.55","539.24M","0.84"
"Dec 15, 2017","6,936.58","6,871.55","6,945.82","6,871.45","1.42B","1.17"
"Dec 14, 2017","6,856.53","6,887.39","6,901.13","6,851.63","496.56M","-0.28"
"Dec 13, 2017","6,875.80","6,880.41","6,897.62","6,871.87","490.98M","0.20"
"Dec 12, 2017","6,862.32","6,872.72","6,884.81","6,856.30","456.45M","-0.19"
"Dec 11, 2017","6,875.08","6,847.64","6,879.80","6,844.88","448.36M","0.51"
"Dec 08, 2017","6,840.08","6,859.94","6,870.48","6,831.61","429.26M","0.40"
"Dec 07, 2017","6,812.84","6,785.74","6,829.29","6,778.20","475.25M","0.54"
"Dec 06, 2017","6,776.38","6,742.07","6,787.42","6,734.13","454.87M","0.21"
"Dec 05, 2017","6,762.21","6,759.14","6,836.45","6,752.32","518.90M","-0.19"
"Dec 04, 2017","6,775.37","6,897.14","6,899.23","6,770.69","600.98M","-1.05"
"Dec 01, 2017","6,847.59","6,844.04","6,872.17","6,737.16","547.88M","-0.38"
"Nov 30, 2017","6,873.97","6,852.80","6,888.65","6,838.48","730.82M","0.73"
"Nov 29, 2017","6,824.39","6,907.28","6,908.33","6,793.95","586.18M","-1.27"
"Nov 28, 2017","6,912.36","6,893.72","6,914.19","6,866.21","477.32M","0.49"
"Nov 27, 2017","6,878.52","6,889.91","6,897.43","6,867.89","444.30M","-0.15"
"Nov 24, 2017","6,889.16","6,878.11","6,890.02","6,873.74","223.07M","0.32"
"Nov 22, 2017","6,867.36","6,869.53","6,874.52","6,859.28","386.64M","0.07"
